date,open,high,low,close,volume,log_close,log_returns,RV_5,RV_10,RV_20,RV_30,is_tet_period,day_of_week,is_monday,is_friday,is_month_end
2018-05-09,21.93,21.93,19.96,19.96,300,2.993730270883318,-0.1144374320004613,0.08309085450669121,0.05858198587795976,0.04174750252495442,0.0364737958619344,0,2,0,0,0
2018-05-10,20.14,22.38,20.14,20.68,1400,3.0291670496402285,0.03543677875691076,0.08772902492728722,0.06039063234139825,0.042163382627230336,0.03687778236813872,0,3,0,0,0
2018-05-11,21.49,21.49,21.49,21.49,100,3.067587710654419,0.038420661014190394,0.09120299356276831,0.062173305790643084,0.04324781522665883,0.03758907162944663,0,4,0,1,0
2018-05-14,21.49,21.49,21.49,21.49,0,3.067587710654419,0.0,0.07377959084097721,0.06218945575873361,0.043249075851650394,0.03758132650454593,0,0,1,0,0
2018-05-15,21.13,21.13,21.13,21.13,100,3.0506938316279655,-0.01689387902645345,0.06215422812936434,0.06223937383694407,0.043348028555745335,0.03770152434356633,0,1,0,0,0
2018-05-16,21.49,21.49,19.78,21.4,10500,3.0633909220278057,0.012697090399840238,0.023494735958512755,0.061745720964126616,0.04348182578285546,0.036819944494385075,0,2,0,0,0
2018-05-17,22.47,22.47,22.47,22.47,100,3.112181086197238,0.04879016416943216,0.02704154448497692,0.06426056827018728,0.045056976004700634,0.03747859134275762,0,3,0,0,0
2018-05-18,20.05,20.05,19.96,19.96,1100,2.993730270883318,-0.1184508153139201,0.0627827817548059,0.07381577285901436,0.052100117117811214,0.04287207196170035,0,4,0,1,0
2018-05-21,22.92,22.92,19.78,19.78,7100,2.984671326194566,-0.00905894468875168,0.062379351827928115,0.06566811681729978,0.05207263642326359,0.04286294453722218,0,0,1,0,0
2018-05-22,21.13,21.13,19.78,19.78,600,2.984671326194566,0.0,0.06281433376819236,0.05891845807651448,0.052095155554092366,0.04280411895261195,0,1,0,0,0
2018-05-23,22.92,22.92,22.92,22.92,100,3.132009891846539,0.14733856565197279,0.09651435200485764,0.06622201677581728,0.06257563690715204,0.051062788160763525,0,2,0,0,0
2018-05-24,22.92,22.92,22.92,22.92,0,3.132009891846539,0.0,0.09452866859991658,0.06588449033650519,0.06224623845859322,0.05080438767020636,0,3,0,0,0
2018-05-25,22.92,22.92,22.92,22.92,0,3.132009891846539,0.0,0.06701952456655476,0.06517786833452513,0.06224623845859322,0.05069332357148996,0,4,0,1,1
2018-05-28,19.6,21.13,19.6,21.13,4300,3.0506938316279655,-0.0813160602185734,0.08283894062141112,0.0708928563735945,0.06491613254577189,0.05278493397541203,0,0,1,0,1
2018-05-29,19.78,21.58,19.78,21.58,8900,3.0717669598299886,0.021073128202023117,0.08253469184288373,0.07100467902309639,0.0651231415450588,0.05296850811561537,0,1,0,0,1
2018-05-30,21.13,21.13,21.13,21.13,0,3.0506938316279655,-0.021073128202023117,0.039300110636022165,0.07124771082397698,0.06496070869574812,0.053064417737253296,0,2,0,0,1
2018-05-31,21.13,21.13,21.13,21.13,0,3.0506938316279655,0.0,0.039300110636022165,0.06907620584241145,0.06496770734280881,0.053067176600342804,0,3,0,0,1
2018-06-01,21.13,21.13,19.78,20.23,800,3.007166651179654,-0.0435271804483115,0.0396166114264155,0.0588479531668936,0.06548574754621783,0.05357573734386563,0,4,0,1,0
2018-06-04,21.31,21.31,19.51,19.51,3100,2.97092715463502,-0.03623949654463399,0.02656842797535655,0.05999827253503197,0.06123987837264759,0.053880275071117166,0,0,1,0,0
2018-06-05,20.95,20.95,20.95,20.95,100,3.0421386463681466,0.07121149173312658,0.04622635190815363,0.06425457342645514,0.06071404379031775,0.05567857970004308,0,1,0,0,0
2018-06-06,22.02,22.02,18.88,18.88,92700,2.9381031607173544,-0.10403548565079213,0.06435651393181081,0.05037950250430296,0.05974878841835345,0.05861854894644492,0,2,0,0,0
2018-06-07,22.38,22.38,17.98,17.98,52000,2.8892600290434745,-0.04884313167387999,0.06378842443064421,0.05065760051953542,0.059883370375679645,0.05900583577155386,0,3,0,0,0
2018-06-08,20.68,20.68,17.98,18.88,9800,2.9381031607173544,0.04884313167387999,0.07250018934409516,0.05539168758001067,0.060342981761455285,0.05988522882052303,0,4,0,1,0
2018-06-11,18.88,18.88,18.43,18.43,700,2.9139797716817317,-0.024123389035622722,0.07176193083103952,0.05107151450528222,0.06044776513905275,0.05997699214013133,0,0,1,0,0
2018-06-12,19.33,19.33,17.98,17.98,2100,2.8892600290434745,-0.02471974263825727,0.05503025201120085,0.04964303770009662,0.06053581051449246,0.060033155090368856,0,1,0,0,0
2018-06-13,18.79,18.79,17.98,17.98,300,2.8892600290434745,0.0,0.03703773851002259,0.049956197161382776,0.06037289905680095,0.05976382489065998,0,2,0,0,0
